CAISO 15-Minute Real-Time Locational Marginal Prices ($/megawatt) for Zones
15-minute real-time locational marginal prices for CAISO
Source: EIA collected from CAISO
UTC Timestamp (Interval Ending),Local Timestamp Pacific Time (Interval Beginning),Local Timestamp Pacific Time (Interval Ending),Local Date,Hour Number,NP-15 LMP,SP-15 LMP,ZP-26 LMP,NP-15 (Congestion),SP-15 (Congestion),ZP-26 (Congestion),NP-15 (Energy),SP-15 (Energy),ZP-26 (Energy),NP-15 (Loss),SP-15 (Loss),ZP-26 (Loss)
2024-04-01 07:15:00,2024-04-01 00:00:00,2024-04-01 00:15:00,2024-04-01,1,30.71075,30.11048,30.16675,0.0,0.0,0.0,31.26412,31.26412,31.26412,-0.55338,-1.15365,-1.09737
2024-04-01 07:30:00,2024-04-01 00:15:00,2024-04-01 00:30:00,2024-04-01,1,28.55559,27.9743,28.07312,0.0,0.0,0.0,29.06421,29.06421,29.06421,-0.50862,-1.08991,-0.99109
2024-04-01 07:45:00,2024-04-01 00:30:00,2024-04-01 00:45:00,2024-04-01,1,28.46963,28.07094,28.0884,0.0,0.0,0.0,29.10112,29.10112,29.10112,-0.63149,-1.03018,-1.01272
2024-04-01 08:00:00,2024-04-01 00:45:00,2024-04-01 01:00:00,2024-04-01,1,27.15745,27.01508,26.99833,0.00591,0.00591,0.00591,27.91645,27.91645,27.91645,-0.76491,-0.90728,-0.92403
2024-04-01 08:15:00,2024-04-01 01:00:00,2024-04-01 01:15:00,2024-04-01,2,30.51398,30.05925,30.1122,0.0,0.0,0.0,31.14625,31.14625,31.14625,-0.63227,-1.087,-1.03406
2024-04-01 08:30:00,2024-04-01 01:15:00,2024-04-01 01:30:00,2024-04-01,2,30.01377,29.47513,29.59755,0.0,0.0,0.0,30.60444,30.60444,30.60444,-0.59067,-1.1293,-1.00689
2024-04-01 08:45:00,2024-04-01 01:30:00,2024-04-01 01:45:00,2024-04-01,2,29.88484,29.44527,29.5338,0.0,0.0,0.0,30.52589,30.52589,30.52589,-0.64104,-1.08062,-0.99209
2024-04-01 09:00:00,2024-04-01 01:45:00,2024-04-01 02:00:00,2024-04-01,2,28.01975,27.84725,27.83288,0.0,0.0,0.0,28.75,28.75,28.75,-0.73025,-0.90275,-0.91713
2024-04-01 09:15:00,2024-04-01 02:00:00,2024-04-01 02:15:00,2024-04-01,3,31.76972,31.86144,31.69438,0.0,0.0,0.0,32.75567,32.75567,32.75567,-0.98595,-0.89423,-1.06128
2024-04-01 09:30:00,2024-04-01 02:15:00,2024-04-01 02:30:00,2024-04-01,3,34.36667,34.57955,34.34538,0.0,0.0,0.0,35.48077,35.48077,35.48077,-1.1141,-0.90121,-1.13538
2024-04-01 09:45:00,2024-04-01 02:30:00,2024-04-01 02:45:00,2024-04-01,3,35.63492,36.00001,35.68286,0.0,0.0,0.0,36.8777,36.8777,36.8777,-1.24278,-0.87769,-1.19484
2024-04-01 10:00:00,2024-04-01 02:45:00,2024-04-01 03:00:00,2024-04-01,3,37.13002,37.5334,37.20301,0.0,0.0,0.0,38.41699,38.41699,38.41699,-1.28697,-0.88359,-1.21398
2024-04-01 10:15:00,2024-04-01 03:00:00,2024-04-01 03:15:00,2024-04-01,4,40.41148,41.06584,40.64638,0.02597,0.02597,0.02597,41.9459,41.9459,41.9459,-1.56039,-0.90603,-1.32549
2024-04-01 10:30:00,2024-04-01 03:15:00,2024-04-01 03:30:00,2024-04-01,4,40.32181,41.01706,40.58567,0.02666,0.02666,0.02666,41.8825,41.8825,41.8825,-1.58735,-0.8921,-1.32349
2024-04-01 10:45:00,2024-04-01 03:30:00,2024-04-01 03:45:00,2024-04-01,4,40.86446,41.62049,41.14903,0.03032,0.03032,0.03032,42.47362,42.47362,42.47362,-1.63948,-0.88345,-1.35491
2024-04-01 11:00:00,2024-04-01 03:45:00,2024-04-01 04:00:00,2024-04-01,4,41.26567,42.00281,41.54852,0.03722,0.03722,0.03722,42.85702,42.85702,42.85702,-1.62857,-0.89143,-1.34571
2024-04-01 11:15:00,2024-04-01 04:00:00,2024-04-01 04:15:00,2024-04-01,5,37.444,38.16119,37.77921,0.01377,0.01377,0.01377,38.97765,38.97765,38.97765,-1.54741,-0.83022,-1.2122
2024-04-01 11:30:00,2024-04-01 04:15:00,2024-04-01 04:30:00,2024-04-01,5,37.28948,38.12591,37.66684,0.0,0.0,0.0,38.90399,38.90399,38.90399,-1.61452,-0.77808,-1.23715
2024-04-01 11:45:00,2024-04-01 04:30:00,2024-04-01 04:45:00,2024-04-01,5,41.5596,42.52277,41.9761,0.0,0.0,0.0,43.38615,43.38615,43.38615,-1.82656,-0.86338,-1.41005
2024-04-01 12:00:00,2024-04-01 04:45:00,2024-04-01 05:00:00,2024-04-01,5,47.49068,48.85922,48.11275,0.0,0.0,0.0,49.76494,49.76494,49.76494,-2.27426,-0.90572,-1.6522
2024-04-01 12:15:00,2024-04-01 05:00:00,2024-04-01 05:15:00,2024-04-01,6,32.68592,33.67172,33.12215,0.0,0.0,0.0,34.34838,34.34838,34.34838,-1.66246,-0.67666,-1.22624
2024-04-01 12:30:00,2024-04-01 05:15:00,2024-04-01 05:30:00,2024-04-01,6,32.4859,33.44137,32.91928,0.0,0.0,0.0,34.12385,34.12385,34.12385,-1.63794,-0.68248,-1.20457
2024-04-01 12:45:00,2024-04-01 05:30:00,2024-04-01 05:45:00,2024-04-01,6,49.09945,50.86402,50.01343,-0.13081,0.0,0.0,51.86501,51.86501,51.86501,-2.63474,-1.00099,-1.85158
2024-04-01 13:00:00,2024-04-01 05:45:00,2024-04-01 06:00:00,2024-04-01,6,53.21423,53.98296,53.97118,-0.17548,-0.63679,0.0,55.9113,55.9113,55.9113,-2.5216,-1.29155,-1.94012
2024-04-01 13:15:00,2024-04-01 06:00:00,2024-04-01 06:15:00,2024-04-01,7,47.68958,49.5111,48.57645,-0.13915,0.0,0.0,50.52153,50.52153,50.52153,-2.6928,-1.01043,-1.94508
2024-04-01 13:30:00,2024-04-01 06:15:00,2024-04-01 06:30:00,2024-04-01,7,49.31766,50.83359,50.07294,-0.16134,0.0,0.0,52.09961,52.09961,52.09961,-2.62061,-1.26602,-2.02668
2024-04-01 13:45:00,2024-04-01 06:30:00,2024-04-01 06:45:00,2024-04-01,7,50.84403,50.58192,51.48643,-0.18183,-1.38114,0.0,53.55359,53.55359,53.55359,-2.52773,-1.59054,-2.06717
2024-04-01 14:00:00,2024-04-01 06:45:00,2024-04-01 07:00:00,2024-04-01,7,49.61058,49.01544,50.19837,-0.16495,-1.64753,0.0,52.20297,52.20297,52.20297,-2.42744,-1.53999,-2.00459
