CAISO 15-Minute Real-Time Locational Marginal Prices ($/megawatt) for Zones
15-minute real-time locational marginal prices for CAISO
Source: EIA collected from CAISO
UTC Timestamp (Interval Ending),Local Timestamp Pacific Time (Interval Beginning),Local Timestamp Pacific Time (Interval Ending),Local Date,Hour Number,NP-15 LMP,SP-15 LMP,ZP-26 LMP,NP-15 (Congestion),SP-15 (Congestion),ZP-26 (Congestion),NP-15 (Energy),SP-15 (Energy),ZP-26 (Energy),NP-15 (Loss),SP-15 (Loss),ZP-26 (Loss)
2024-07-01 07:15:00,2024-07-01 00:00:00,2024-07-01 00:15:00,2024-07-01,1,39.61766,40.97876,39.96223,1.93605,0.02532,0.02532,41.15511,41.15511,41.15511,-3.47349,-0.20166,-1.21819
2024-07-01 07:30:00,2024-07-01 00:15:00,2024-07-01 00:30:00,2024-07-01,1,33.38449,36.52718,35.38969,0.01077,0.01077,0.01077,36.45807,36.45807,36.45807,-3.08435,0.05833,-1.07916
2024-07-01 07:45:00,2024-07-01 00:30:00,2024-07-01 00:45:00,2024-07-01,1,33.36894,36.39901,35.35867,0.00905,0.00905,0.00905,36.37541,36.37541,36.37541,-3.01552,0.01455,-1.02579
2024-07-01 08:00:00,2024-07-01 00:45:00,2024-07-01 01:00:00,2024-07-01,1,31.92514,33.20902,32.75747,0.0,0.0,0.0,33.69764,33.69764,33.69764,-1.7725,-0.48862,-0.94016
2024-07-01 08:15:00,2024-07-01 01:00:00,2024-07-01 01:15:00,2024-07-01,2,36.35183,39.17734,38.19251,0.19474,0.19474,0.19474,39.0803,39.0803,39.0803,-2.92321,-0.0977,-1.08252
2024-07-01 08:30:00,2024-07-01 01:15:00,2024-07-01 01:30:00,2024-07-01,2,32.78849,35.01783,34.2712,0.0,0.0,0.0,35.21858,35.21858,35.21858,-2.43008,-0.20075,-0.94738
2024-07-01 08:45:00,2024-07-01 01:30:00,2024-07-01 01:45:00,2024-07-01,2,32.13186,34.31217,33.56355,0.0,0.0,0.0,34.49846,34.49846,34.49846,-2.36659,-0.18629,-0.93491
2024-07-01 09:00:00,2024-07-01 01:45:00,2024-07-01 02:00:00,2024-07-01,2,30.30295,30.73662,30.55121,0.0,0.0,0.0,31.42482,31.42482,31.42482,-1.12187,-0.6882,-0.87361
2024-07-01 09:15:00,2024-07-01 02:00:00,2024-07-01 02:15:00,2024-07-01,3,33.47341,35.85605,35.02464,0.00498,0.00498,0.00498,35.99143,35.99143,35.99143,-2.523,-0.14037,-0.97177
2024-07-01 09:30:00,2024-07-01 02:15:00,2024-07-01 02:30:00,2024-07-01,3,31.60782,33.80391,33.03341,0.00383,0.00383,0.00383,33.94264,33.94264,33.94264,-2.33865,-0.14256,-0.91306
2024-07-01 09:45:00,2024-07-01 02:30:00,2024-07-01 02:45:00,2024-07-01,3,29.82422,31.94239,31.18293,0.0,0.0,0.0,32.04494,32.04494,32.04494,-2.22071,-0.10254,-0.86201
2024-07-01 10:00:00,2024-07-01 02:45:00,2024-07-01 03:00:00,2024-07-01,3,29.80467,30.30868,30.07678,0.0,0.0,0.0,30.92092,30.92092,30.92092,-1.11625,-0.61223,-0.84414
2024-07-01 10:15:00,2024-07-01 03:00:00,2024-07-01 03:15:00,2024-07-01,4,31.74069,34.04097,33.2526,0.00763,0.00763,0.00763,34.1289,34.1289,34.1289,-2.39585,-0.09556,-0.88394
2024-07-01 10:30:00,2024-07-01 03:15:00,2024-07-01 03:30:00,2024-07-01,4,30.52517,32.51287,31.85902,0.00024,0.00024,0.00024,32.69244,32.69244,32.69244,-2.16751,-0.17981,-0.83366
2024-07-01 10:45:00,2024-07-01 03:30:00,2024-07-01 03:45:00,2024-07-01,4,30.56362,32.61474,31.92994,0.0,0.0,0.0,32.76546,32.76546,32.76546,-2.20184,-0.15072,-0.83552
2024-07-01 11:00:00,2024-07-01 03:45:00,2024-07-01 04:00:00,2024-07-01,4,29.671,29.90994,29.81498,0.0,0.0,0.0,30.63287,30.63287,30.63287,-0.96187,-0.72294,-0.8179
2024-07-01 11:15:00,2024-07-01 04:00:00,2024-07-01 04:15:00,2024-07-01,5,29.79965,31.70575,31.02682,0.0,0.0,0.0,31.87469,31.87469,31.87469,-2.07504,-0.16894,-0.84787
